movieID,budget,open_weekend,gross,ROI_open,ROI_gross,genres,movieURL
tt0110912,8000000,9311882,107928762, 0.164,12.491,Crime;Drama,http://www.imdb.com/title/tt0110912/
tt1872181,200000000,91608337,202644001,-0.542, 0.013,Action;Adventure;Fantasy;SciFi,http://www.imdb.com/title/tt1872181/
tt0111161,25000000,727327,28341469,-0.971, 0.134,Crime;Drama,http://www.imdb.com/title/tt0111161/
tt0076759,11000000,35906661,460935665, 2.264,40.903,Action;Adventure;Fantasy;SciFi,http://www.imdb.com/title/tt0076759/
tt0088763,19000000,11332134,197902294,-0.404, 9.416,Adventure;Comedy;SciFi,http://www.imdb.com/title/tt0088763/
tt0088847,1000000,5107599,38121485, 4.108,37.121,Comedy;Drama,http://www.imdb.com/title/tt0088847/
tt0089218,19000000,9105913,61389680,-0.521, 2.231,Adventure;Comedy;Family,http://www.imdb.com/title/tt0089218/
tt0102926,19000000,13766814,130742922,-0.275, 5.881,Crime;Drama;Thriller,http://www.imdb.com/title/tt0102926/
tt0107290,63000000,18620145,402348347,-0.704, 5.386,Adventure;SciFi;Thriller,http://www.imdb.com/title/tt0107290/
tt0110357,45000000,40888194,422783777,-0.091, 8.395,Animation;Adventure;Drama;Family;Musical,http://www.imdb.com/title/tt0110357/
tt0114709,30000000,12491789,30144903,-0.584, 0.005,Animation;Adventure;Comedy;Family;Fantasy,http://www.imdb.com/title/tt0114709/
tt0118715,15000000,5533844,17439163,-0.631, 0.163,Comedy;Crime,http://www.imdb.com/title/tt0118715/
tt0120815,70000000,30576104,216540909,-0.563, 2.093,Action;Drama;War,http://www.imdb.com/title/tt0120815/
tt0137523,63000000,11035485,37030102,-0.825,-0.412,Drama,http://www.imdb.com/title/tt0137523/
tt0133093,63000000,27788331,171479930,-0.559, 1.722,Action;SciFi,http://www.imdb.com/title/tt0133093/
tt0120915,115000000,22469932,43456382,-0.805,-0.622,Action;Adventure;Fantasy;SciFi,http://www.imdb.com/title/tt0120915/
tt0172495,103000000,34819017,187705427,-0.662, 0.822,Action;Drama,http://www.imdb.com/title/tt0172495/
tt0120903,75000000,54471475,157299717,-0.274, 1.097,Action;Adventure;SciFi,http://www.imdb.com/title/tt0120903/
tt0241527,125000000,90294621,317557891,-0.278, 1.540,Adventure;Family;Fantasy,http://www.imdb.com/title/tt0241527/
tt0120737,93000000,47211490,315544750,-0.492, 2.393,Adventure;Fantasy,http://www.imdb.com/title/tt0120737/
tt0167261,94000000,727645,342551365,-0.992, 2.644,Adventure;Fantasy,http://www.imdb.com/title/tt0167261/
tt0295701,70000000,44506103,142109382,-0.364, 1.030,Action;Adventure,http://www.imdb.com/title/tt0295701/
tt0266543,94000000,16687773,41123892,-0.822,-0.563,Animation;Adventure;Comedy;Family,http://www.imdb.com/title/tt0266543/
